,Year,PassengerDomCars,PassengerImportCars,LightTrucks2wd,LightTrucks4wd,LightTrucksCombined,CombinedMPG
1,1978,18,18,,,,18
2,1979,19,19,17.2,15.8,,17.75
3,1980,20,20,16,14,,17.5
4,1981,22,22,16.7,15,,18.925
5,1982,24,24,18,16,17.5,19.9
6,1983,26,26,19.5,17.5,19,21.6
7,1984,27,27,20.3,18.5,20,22.56
8,1985,27.5,27.5,19.7,18.9,19.5,22.62
9,1986,26,26,20.5,19.5,20,22.4
10,1987,26,26,21,19.5,20.5,22.6
11,1988,26,26,21,19.5,20.5,22.6
12,1989,26.5,26.5,21.5,19,20.5,22.8
13,1990,27.5,27.5,20.5,19,20,22.9
14,1991,27.5,27.5,20.7,19.1,20.2,23
15,1992,27.5,27.5,,,20.2,25.06666667
16,1993,27.5,27.5,,,20.4,25.13333333
17,1994,27.5,27.5,,,20.5,25.16666667
18,1995,27.5,27.5,,,20.6,25.2
19,1996,27.5,27.5,,,20.7,25.23333333
20,1997,27.5,27.5,,,20.7,25.23333333
21,1998,27.5,27.5,,,20.7,25.23333333
22,1999,27.5,27.5,,,20.7,25.23333333
23,2000,27.5,27.5,,,20.7,25.23333333
24,2001,27.5,27.5,,,20.7,25.23333333
25,2002,27.5,27.5,,,20.7,25.23333333
26,2003,27.5,27.5,,,20.7,25.23333333
27,2004,27.5,27.5,,,20.7,25.23333333
28,2005,27.5,27.5,,,21,25.33333333
29,2006,27.5,27.5,,,21.6,25.53333333
30,2007,27.5,27.5,,,22.2,25.73333333
31,2008,27.5,27.5,,,22.4,25.8
32,2009,27.5,27.5,,,23,26
33,2010,27.5,27.5,,,23.4,26.13333333
34,2011,30,30.4,,,24.3,28.23333333
35,2012,32.7,33.4,,,25.3,30.46666667
36,2013,33.2,33.9,,,25.9,31
37,2014,34,34.6,,,26.3,31.63333333
38,2015,35.2,35.8,,,27.6,32.86666667
39,2016,36.5,37.4,,,28.8,34.23333333
40,2017,38.5,39.6,,,29.4,35.83333333
